Seed;GridSize;Steps;Success
848100;6x6;1525;True
629261;6x6;2000;False
80898;6x6;2000;False
54995;6x6;2000;False
502288;6x6;2000;False
458569;6x6;2000;False
614734;6x6;2000;False
549103;6x6;2000;False
533308;6x6;1607;True
9349;6x6;2000;False
592858;6x6;2000;False
736651;6x6;373;True
610216;6x6;2000;False
219201;6x6;2000;False
604518;6x6;2000;False
474535;6x6;2000;False
168212;6x6;89;True
838461;6x6;189;True
691250;6x6;2000;False
479811;6x6;2000;False
431104;6x6;2000;False
618681;6x6;35;True
899326;6x6;2000;False
503327;6x6;2000;False
530092;6x6;2000;False
967925;6x6;2000;False
719434;6x6;921;True
470907;6x6;2000;False
379224;6x6;1957;True
280113;6x6;2000;False
541910;6x6;2000;False
939031;6x6;2000;False
435908;6x6;2000;False
728749;6x6;2000;False
755106;6x6;2000;False
539059;6x6;2000;False
519856;6x6;2000;False
908585;6x6;2000;False
959598;6x6;2000;False
804111;6x6;127;True
379996;6x6;2000;False
40997;6x6;2000;False
982842;6x6;547;True
467179;6x6;503;True
215432;6x6;2000;False
472289;6x6;2000;False
57734;6x6;2000;False
781959;6x6;2000;False
37940;6x6;2000;False
206237;6x6;1851;True
31314;6x6;99;True
14307;6x6;2000;False
326112;6x6;2000;False
308889;6x6;2000;False
529054;6x6;2000;False
411647;6x6;2000;False
9420;6x6;2000;False
763925;6x6;2000;False
75626;6x6;2000;False
885787;6x6;1339;True
340408;6x6;2000;False
373201;6x6;2000;False
850038;6x6;1259;True
460663;6x6;315;True
132516;6x6;761;True
208205;6x6;1841;True
581698;6x6;2000;False
323731;6x6;2000;False
495696;6x6;2000;False
79305;6x6;2000;False
893774;6x6;2000;False
710831;6x6;2000;False
25980;6x6;1297;True
376645;6x6;2000;False
296858;6x6;2000;False
12043;6x6;2000;False
294056;6x6;2000;False
748673;6x6;611;True
908262;6x6;2000;False
821031;6x6;2000;False
6036;6x6;2000;False
238717;6x6;2000;False
620146;6x6;2000;False
29955;6x6;1177;True
866304;6x6;2000;False
105849;6x6;2000;False
598334;6x6;2000;False
232799;6x6;2000;False
173804;6x6;2000;False
567797;6x6;1311;True
600650;6x6;1623;True
999099;6x6;2000;False
409752;6x6;2000;False
693297;6x6;2000;False
388630;6x6;2000;False
720151;6x6;2000;False
919108;6x6;2000;False
797997;6x6;2000;False
310434;6x6;2000;False
49715;6x6;1923;True
145712;6x6;2000;False
764137;6x6;2000;False
589934;6x6;2000;False
599567;6x6;2000;False
897052;6x6;275;True
737061;6x6;1107;True
810938;6x6;2000;False
836779;6x6;1349;True
404680;6x6;2000;False
757345;6x6;2000;False
977414;6x6;2000;False
611591;6x6;2000;False
225588;6x6;1479;True
141597;6x6;2000;False
446482;6x6;2000;False
786147;6x6;2000;False
73504;6x6;313;True
712217;6x6;2000;False
798174;6x6;2000;False
496831;6x6;2000;False
915596;6x6;2000;False
758549;6x6;2000;False
954282;6x6;2000;False
88027;6x6;2000;False
633976;6x6;2000;False
581969;6x6;2000;False
244406;6x6;2000;False
145847;6x6;1927;True
950500;6x6;2000;False
159501;6x6;2000;False
831362;6x6;2000;False
314899;6x6;2000;False
646480;6x6;2000;False
283401;6x6;2000;False
785998;6x6;2000;False
59247;6x6;453;True
553148;6x6;2000;False
195141;6x6;1365;True
633690;6x6;2000;False
