Seed;GridSize;Steps;Success
778027;4x4;67;True
63560;4x4;51;True
557217;4x4;345;True
902726;4x4;25;True
403271;4x4;15;True
938292;4x4;133;True
456093;4x4;31;True
552018;4x4;409;True
967779;4x4;31;True
767264;4x4;39;True
538713;4x4;53;True
334430;4x4;17;True
5247;4x4;345;True
587852;4x4;139;True
362837;4x4;141;True
760106;4x4;15;True
272347;4x4;103;True
388408;4x4;311;True
471633;4x4;55;True
46390;4x4;137;True
26871;4x4;15;True
949156;4x4;15;True
870989;4x4;15;True
404290;4x4;15;True
541395;4x4;23;True
754576;4x4;15;True
495113;4x4;29;True
785870;4x4;69;True
28655;4x4;39;True
124668;4x4;57;True
117829;4x4;25;True
896346;4x4;169;True
538315;4x4;109;True
414760;4x4;15;True
130305;4x4;47;True
425638;4x4;345;True
373095;4x4;31;True
351060;4x4;25;True
273789;4x4;167;True
988530;4x4;239;True
477635;4x4;15;True
976448;4x4;15;True
257977;4x4;125;True
574590;4x4;127;True
244767;4x4;15;True
190764;4x4;17;True
130677;4x4;79;True
720010;4x4;41;True
92219;4x4;55;True
279576;4x4;135;True
342193;4x4;193;True
580310;4x4;167;True
4695;4x4;173;True
528644;4x4;129;True
727277;4x4;17;True
436002;4x4;45;True
946675;4x4;41;True
199344;4x4;47;True
528745;4x4;217;True
617326;4x4;37;True
845007;4x4;27;True
976796;4x4;79;True
990245;4x4;83;True
28922;4x4;167;True
435307;4x4;161;True
513736;4x4;219;True
682145;4x4;81;True
163078;4x4;63;True
917703;4x4;169;True
72628;4x4;43;True
482845;4x4;81;True
677202;4x4;15;True
772963;4x4;15;True
314976;4x4;27;True
458073;4x4;49;True
383454;4x4;15;True
315711;4x4;93;True
344204;4x4;75;True
645973;4x4;123;True
286314;4x4;15;True
673627;4x4;17;True
233464;4x4;17;True
887761;4x4;15;True
14966;4x4;173;True
915895;4x4;35;True
818660;4x4;151;True
443405;4x4;113;True
24770;4x4;15;True
759251;4x4;115;True
59344;4x4;99;True
349513;4x4;91;True
689934;4x4;15;True
363439;4x4;15;True
6716;4x4;111;True
328517;4x4;73;True
684186;4x4;113;True
431371;4x4;25;True
445672;4x4;33;True
118913;4x4;31;True
29990;4x4;15;True
194215;4x4;173;True
249620;4x4;15;True
940285;4x4;87;True
83826;4x4;165;True
802115;4x4;15;True
690176;4x4;35;True
80377;4x4;143;True
230014;4x4;51;True
800415;4x4;15;True
482028;4x4;143;True
854197;4x4;29;True
808842;4x4;121;True
772155;4x4;51;True
194584;4x4;17;True
965553;4x4;27;True
125206;4x4;17;True
832791;4x4;35;True
602372;4x4;15;True
222509;4x4;15;True
833378;4x4;151;True
