Seed;GridSize;Steps;Success
420451;5x5;58;True
202848;5x5;100;False
897177;5x5;96;True
484730;5x5;100;False
259115;5x5;100;False
472968;5x5;100;False
115937;5x5;100;False
642310;5x5;100;False
169415;5x5;46;True
783732;5x5;100;False
963997;5x5;100;False
322386;5x5;100;False
691939;5x5;90;True
272224;5x5;100;False
483097;5x5;24;True
644702;5x5;100;False
232063;5x5;100;False
256076;5x5;66;True
617941;5x5;100;False
887914;5x5;100;False
639259;5x5;100;False
516984;5x5;100;False
989393;5x5;100;False
878006;5x5;100;False
327415;5x5;24;True
112612;5x5;100;False
523469;5x5;24;True
354434;5x5;100;False
548435;5x5;100;False
240912;5x5;100;False
27977;5x5;100;False
98062;5x5;100;False
944815;5x5;100;False
211132;5x5;100;False
297221;5x5;100;False
603802;5x5;100;False
541579;5x5;24;True
613096;5x5;26;True
325761;5x5;100;False
998182;5x5;56;True
728295;5x5;100;False
7508;5x5;100;False
557821;5x5;100;False
696178;5x5;100;False
526787;5x5;100;False
317504;5x5;100;False
738681;5x5;100;False
112702;5x5;100;False
647711;5x5;100;False
884460;5x5;100;False
458229;5x5;100;False
69834;5x5;100;False
923195;5x5;100;False
943512;5x5;60;True
407409;5x5;26;True
786454;5x5;100;False
837335;5x5;86;True
557572;5x5;100;False
307117;5x5;100;False
118242;5x5;100;False
159155;5x5;100;False
162288;5x5;100;False
751593;5x5;100;False
951662;5x5;100;False
136335;5x5;100;False
11484;5x5;100;False
79077;5x5;100;False
488378;5x5;100;False
32875;5x5;24;True
426056;5x5;100;False
244833;5x5;100;False
236550;5x5;100;False
868103;5x5;44;True
657204;5x5;100;False
870301;5x5;100;False
127122;5x5;100;False
648931;5x5;100;False
236064;5x5;100;False
371033;5x5;60;True
582750;5x5;100;False
707903;5x5;100;False
795212;5x5;100;False
453397;5x5;100;False
303978;5x5;68;True
888411;5x5;100;False
385784;5x5;100;False
909905;5x5;26;True
169654;5x5;58;True
438583;5x5;100;True
993124;5x5;100;False
103885;5x5;100;False
141634;5x5;100;False
321235;5x5;100;False
480912;5x5;78;True
971081;5x5;100;False
839246;5x5;66;True
248431;5x5;100;False
822908;5x5;100;False
400581;5x5;100;False
330778;5x5;100;False
654155;5x5;100;False
764712;5x5;100;False
696001;5x5;88;True
340390;5x5;100;False
451623;5x5;100;False
346324;5x5;68;True
272701;5x5;100;False
761202;5x5;100;False
687043;5x5;100;False
491072;5x5;100;False
734073;5x5;100;False
142206;5x5;100;False
848863;5x5;100;False
171180;5x5;100;False
522421;5x5;100;False
63946;5x5;100;False
679483;5x5;24;True
727704;5x5;100;False
43057;5x5;100;False
204310;5x5;100;False
965719;5x5;100;False
545796;5x5;100;False
336045;5x5;100;False
698082;5x5;24;True
545523;5x5;100;False
868528;5x5;24;True
201065;5x5;100;False
236910;5x5;100;False
881423;5x5;26;True
633692;5x5;100;False
864997;5x5;24;True
208442;5x5;100;False
173355;5x5;100;False
945480;5x5;100;False
441441;5x5;100;False
568070;5x5;76;True
551815;5x5;100;False
672436;5x5;24;True
569245;5x5;100;False
841298;5x5;100;False
282531;5x5;100;False
713504;5x5;100;False
743513;5x5;100;False
878558;5x5;100;False
386623;5x5;100;False
748172;5x5;100;False
551701;5x5;42;True
469738;5x5;100;False
730267;5x5;100;False
651576;5x5;100;False
781457;5x5;100;False
166134;5x5;100;False
695415;5x5;100;False
468516;5x5;24;True
831821;5x5;100;False
671426;5x5;100;False
185107;5x5;100;False
354448;5x5;100;False
892681;5x5;66;True
358222;5x5;100;False
633839;5x5;64;True
848764;5x5;100;False
827973;5x5;100;False
664410;5x5;26;True
777227;5x5;100;False
646888;5x5;86;True
420929;5x5;26;True
512550;5x5;100;False
143207;5x5;100;False
14036;5x5;100;False
921789;5x5;36;True
702898;5x5;100;False
936643;5x5;46;True
466944;5x5;100;False
654265;5x5;100;False
873726;5x5;100;False
620767;5x5;100;False
229740;5x5;100;False
334005;5x5;100;False
461386;5x5;100;False
221243;5x5;100;False
388056;5x5;64;True
645681;5x5;24;True
381974;5x5;100;False
809239;5x5;100;False
660228;5x5;100;False
382189;5x5;24;True
901986;5x5;100;False
908211;5x5;100;False
118384;5x5;100;False
17641;5x5;82;True
180270;5x5;24;True
979663;5x5;26;True
784156;5x5;26;True
992613;5x5;26;True
529466;5x5;100;False
159211;5x5;100;False
473864;5x5;100;False
297377;5x5;100;False
290182;5x5;100;False
149063;5x5;24;True
508276;5x5;100;False
560733;5x5;34;True
552210;5x5;100;False
13667;5x5;100;False
689504;5x5;100;False
694297;5x5;36;True
38558;5x5;100;False
311231;5x5;26;True
404300;5x5;100;False
275605;5x5;100;False
429866;5x5;100;False
345499;5x5;100;False
262328;5x5;100;False
968657;5x5;100;False
27126;5x5;100;False
978743;5x5;100;False
40612;5x5;100;False
892173;5x5;100;False
845890;5x5;100;False
361939;5x5;100;False
31824;5x5;24;True
73481;5x5;100;False
665358;5x5;100;False
692911;5x5;100;False
266364;5x5;60;True
895173;5x5;100;False
795674;5x5;100;False
872011;5x5;100;False
69480;5x5;100;False
550401;5x5;66;True
728102;5x5;56;True
446375;5x5;100;False
255572;5x5;100;False
199293;5x5;100;False
826098;5x5;100;False
333059;5x5;78;True
92544;5x5;100;False
964985;5x5;100;False
691262;5x5;24;True
760863;5x5;100;False
173740;5x5;100;False
552501;5x5;100;False
886410;5x5;100;False
570683;5x5;24;True
347736;5x5;100;False
670193;5x5;100;False
37206;5x5;34;True
835351;5x5;100;False
148804;5x5;100;False
385005;5x5;62;True
993250;5x5;74;True
587635;5x5;80;True
723248;5x5;100;False
665257;5x5;100;False
802862;5x5;100;False
857359;5x5;100;False
85532;5x5;26;True
134437;5x5;100;False
633274;5x5;100;False
476907;5x5;100;False
762440;5x5;100;False
960225;5x5;34;True
128070;5x5;100;False
564615;5x5;24;True
855540;5x5;100;False
65757;5x5;100;False
511890;5x5;42;True
38179;5x5;100;False
344736;5x5;100;False
720409;5x5;100;False
527134;5x5;26;True
18175;5x5;100;False
801548;5x5;100;False
771477;5x5;100;False
167978;5x5;100;False
792539;5x5;48;True
735864;5x5;100;False
506193;5x5;100;False
808758;5x5;52;True
772087;5x5;100;False
85604;5x5;100;False
337101;5x5;100;False
175938;5x5;100;False
538771;5x5;36;True
709200;5x5;100;False
958409;5x5;100;False
686734;5x5;100;False
696751;5x5;100;False
569660;5x5;68;True
650949;5x5;100;False
457498;5x5;100;False
277387;5x5;100;False
574888;5x5;100;False
789633;5x5;100;False
520358;5x5;24;True
780391;5x5;100;False
470420;5x5;100;False
366909;5x5;100;False
562482;5x5;100;False
916163;5x5;100;False
160896;5x5;100;False
822521;5x5;100;False
246718;5x5;100;False
818463;5x5;26;True
272236;5x5;74;True
764149;5x5;100;False
870986;5x5;100;False
825851;5x5;100;False
490840;5x5;100;False
751345;5x5;24;True
594198;5x5;100;False
931479;5x5;100;False
343556;5x5;100;False
821997;5x5;100;False
843298;5x5;100;False
66035;5x5;100;False
588336;5x5;100;False
796713;5x5;100;False
943534;5x5;100;False
422671;5x5;40;True
204380;5x5;100;False
621541;5x5;40;True
21114;5x5;58;True
798123;5x5;44;True
277832;5x5;100;False
587169;5x5;100;False
210950;5x5;100;False
985543;5x5;100;False
840500;5x5;100;False
896349;5x5;100;False
600402;5x5;98;True
641635;5x5;100;False
204896;5x5;100;False
321241;5x5;100;False
121438;5x5;100;False
732159;5x5;100;False
389260;5x5;58;True
106197;5x5;100;False
814250;5x5;100;False
159323;5x5;100;False
129720;5x5;100;False
585361;5x5;100;False
956982;5x5;24;True
429751;5x5;42;True
627556;5x5;100;False
263821;5x5;100;False
271426;5x5;100;False
613267;5x5;100;False
871632;5x5;100;False
102985;5x5;100;False
866510;5x5;86;True
979631;5x5;56;True
34684;5x5;48;True
195269;5x5;100;False
664282;5x5;100;False
746635;5x5;100;False
218408;5x5;100;False
859969;5x5;54;True
303014;5x5;36;True
597991;5x5;100;False
625812;5x5;100;False
25149;5x5;100;False
725746;5x5;100;False
226883;5x5;100;False
274304;5x5;100;False
172985;5x5;100;False
197950;5x5;100;False
569183;5x5;100;False
372844;5x5;100;False
415157;5x5;24;True
18378;5x5;100;False
96891;5x5;50;True
749016;5x5;100;False
515249;5x5;92;True
969686;5x5;26;True
364439;5x5;100;False
656644;5x5;100;False
623725;5x5;100;False
179490;5x5;100;False
31411;5x5;26;True
294320;5x5;100;False
997225;5x5;100;False
593646;5x5;100;False
872271;5x5;100;False
707996;5x5;100;False
981541;5x5;40;True
693946;5x5;24;True
244203;5x5;26;True
850504;5x5;100;False
972961;5x5;100;False
295878;5x5;100;False
346887;5x5;100;False
581364;5x5;100;False
935709;5x5;92;True
379154;5x5;100;False
624291;5x5;74;True
550240;5x5;68;True
916441;5x5;100;False
237342;5x5;54;True
97407;5x5;100;False
448716;5x5;100;False
615573;5x5;100;False
903722;5x5;100;False
959515;5x5;60;True
835640;5x5;100;False
474705;5x5;100;False
682486;5x5;100;False
739575;5x5;100;False
263652;5x5;100;False
272397;5x5;100;False
575810;5x5;100;False
596371;5x5;100;False
807696;5x5;100;False
170057;5x5;100;False
967182;5x5;100;False
645935;5x5;100;False
379964;5x5;34;True
775173;5x5;100;False
65946;5x5;96;True
979339;5x5;100;False
130344;5x5;80;True
847233;5x5;100;False
618854;5x5;100;False
475687;5x5;100;False
410836;5x5;100;False
826941;5x5;100;False
265010;5x5;100;False
388803;5x5;34;True
296512;5x5;24;True
826617;5x5;24;True
94846;5x5;26;True
387039;5x5;100;False
589420;5x5;26;True
930357;5x5;100;False
819914;5x5;60;True
91323;5x5;76;True
581784;5x5;100;False
870641;5x5;100;False
672022;5x5;100;False
791191;5x5;100;False
353668;5x5;100;False
944429;5x5;100;False
88866;5x5;100;False
988595;5x5;100;False
8176;5x5;92;True
850217;5x5;100;False
193902;5x5;100;False
845263;5x5;100;False
37980;5x5;100;False
143077;5x5;100;False
952954;5x5;100;False
690603;5x5;100;False
687432;5x5;44;True
191777;5x5;26;True
93254;5x5;100;False
741063;5x5;64;True
441140;5x5;100;False
961117;5x5;100;False
215826;5x5;100;False
298275;5x5;100;False
18464;5x5;100;False
127449;5x5;56;True
881182;5x5;100;False
431999;5x5;54;True
284876;5x5;100;False
167189;5x5;100;False
